175,Krpuas,Pakistan
6,Cezcxjwu,Australia
52,Fsjnn,England
188,Arrundy,England
138,Zsqxtiuc,Australia
87,Gqmyuf,Pakistan
125,Rpiux,Zimbabwe
178,Bxhqlft,England
40,Ptqls,South Africa
170,Ptqls,Sri Lanka
135,Lgmior,South Africa
158,Upxmc,Pakistan
129,Ofsevo,West Indies
76,Oniwd,South Africa
40,Ddtjnnlr,South Africa
117,Cafxnv,England
25,Ppltnaz,Bangladesh
189,Thvtsxa,India
30,Bvwscull,Zimbabwe
14,Wdpkski,Zimbabwe
145,Ujplq,West Indies
184,Clfjlv,Pakistan
34,Gpjatd,Bangladesh
20,Jilkks,Sri Lanka
119,Qlubnpq,Bangladesh
150,Kcsdyoi,Bangladesh
91,Gksgfwng,England
5,Hyeotg,Pakistan
77,Vlpym,West Indies
1,Xqixepql,West Indies
30,Bhtrb,England
118,Itxlmmy,Australia
98,Juihndue,India
15,Vaeoun,South Africa
127,Hvabhsy,Pakistan
35,Fgcweux,Sri Lanka
175,Lgkhmb,Sri Lanka
14,Gqvemb,Bangladesh
187,Glpzs,Pakistan
158,Ciyici,Zimbabwe
169,Qlubnpq,South Africa
144,Ahthlkdy,Bangladesh
174,Jbbnr,Australia
34,Lgkhmb,India
198,Rpiux,England
99,Ofsevo,Australia
34,Uotscv,Bangladesh
56,Nfyllmf,Zimbabwe
75,Kispvwe,England
159,Epgzdq,Pakistan
38,Thvtsxa,India
99,Gqmyuf,England
36,Yzkxbg,India
35,Dlcexcte,Australia
55,Vvrldd,South Africa
12,Rasaaby,Sri Lanka
62,Aupsd,Pakistan
142,Xwjpmsst,West Indies
3,Oaktlmbv,Zimbabwe
112,Sxuagls,South Africa
166,Glpzs,Pakistan
87,Kcsdyoi,West Indies
77,Ygjugcxa,England
185,Lvcbvu,Australia
8,Juihndue,England
175,Oaktlmbv,England
172,Vvrldd,Australia
103,Kispvwe,Australia
177,Dulauzc,Pakistan
171,Ujplq,England
30,Fcfzgp,Bangladesh
67,Uteeimqo,West Indies
133,Jneutnvt,Zimbabwe
188,Fgnwbbse,Pakistan
192,Thhwbvpe,England
53,Zacitpp,Zimbabwe
134,Tmeqim,Pakistan
87,Juihndue,England
70,Qdgge,England
22,Skwjfu,West Indies
72,Dkopci,India
46,Fhchvwb,England
193,Gqmyuf,Zimbabwe
99,Kyaeczvd,South Africa
183,Ofkhbgzy,Pakistan
119,Auubxo,Bangladesh
20,Aqces,South Africa
127,Qfodqwvo,West Indies
136,Nmouxjqf,Pakistan
3,Myjaadfm,Sri Lanka
96,Zsqxtiuc,Zimbabwe
63,Voeufb,South Africa
111,Tmeqim,Australia
45,Vlpym,India
16,Fhchvwb,Zimbabwe
148,Xfiybq,England
89,Oqhwrfbj,Bangladesh
171,Icbbqpyp,Sri Lanka
27,Hyeotg,India
165,Lgkhmb,Sri Lanka
93,Dlcexcte,Zimbabwe
114,Yzkxbg,Sri Lanka
2,Wbkvbjd,Pakistan
23,Wdpkski,India
118,Pbdqodj,South Africa
193,Rkxyht,Pakistan
187,Dulauzc,England
51,Ujplq,South Africa
146,Puxrcl,England
117,Gqmyuf,England
67,Dkopci,Sri Lanka
114,Ecsekp,Australia
87,Geztpnz,West Indies
58,Qfodqwvo,South Africa
78,Aupsd,Pakistan
104,Nbairg,West Indies
77,Gvntb,Pakistan
162,Vaeoun,Zimbabwe
36,Rruswlmr,Australia
147,Bvwscull,Sri Lanka
153,Dvflq,West Indies
18,Wtaudkt,India
70,Nfyllmf,England
101,Vwnksnhu,India
54,Xwjpmsst,Bangladesh
74,Ohyrtuot,Sri Lanka
129,Sgwkdr,Pakistan
109,Vaeoun,Zimbabwe
145,Okfsof,Bangladesh
137,Pwlkicm,Australia
132,Dlcexcte,Pakistan
19,Ghirz,Sri Lanka
34,Rasaaby,West Indies
38,Vsdfendi,Sri Lanka
10,Lbhcudk,Zimbabwe
150,Rqfisals,England
106,Dvflq,England
166,Lkwyj,Bangladesh
14,Bvwscull,Zimbabwe
184,Ijkvlu,Sri Lanka
16,Lnejcjxi,West Indies
175,Fhchvwb,Zimbabwe
61,Uteeimqo,West Indies
81,Taklj,West Indies
26,Ptqls,West Indies
33,Okfsof,Sri Lanka
62,Rpiux,Sri Lanka
18,Khygmh,Sri Lanka
123,Buuoxoc,South Africa
178,Ofkhbgzy,Australia
189,Cezcxjwu,Sri Lanka
39,Didhy,Zimbabwe
122,Pupvtsaj,West Indies
3,Auubxo,England
181,Wjwkkk,India
35,Ehbdwru,Zimbabwe
144,Lgkhmb,Bangladesh
82,Mwyzh,Bangladesh
31,Xqwippef,England
125,Jnahpfw,Sri Lanka
2,Ahmbdxux,Zimbabwe
120,Rqfisals,Pakistan
115,Ijkvlu,Pakistan
129,Xqixepql,Bangladesh
96,Ddtjnnlr,England
100,Hyeotg,South Africa
197,Qfucqckp,England
177,Jjlkyo,England
66,Bvwscull,Australia
118,Onsuufk,England
192,Vaeoun,Australia
70,Ehbdwru,Bangladesh
56,Fjuojpwm,Zimbabwe
5,Mwyzh,Bangladesh
2,Ddtjnnlr,Pakistan
134,Fjuojpwm,Pakistan
127,Fhchvwb,Sri Lanka
178,Xwjpmsst,Pakistan
100,Auubxo,England
92,Hyqdjf,Pakistan
118,Zsqxtiuc,Pakistan
183,Ahmbdxux,Pakistan
133,Xtdntv,England
109,Wlsncxsa,England
88,Ktczgo,England
120,Djrgs,Bangladesh
171,Vtdrvd,West Indies
161,Jilkks,Bangladesh
39,Dhhcjo,Australia
74,Vtdrvd,Sri Lanka
111,Epgzdq,Bangladesh
132,Pwlkicm,Zimbabwe
102,Bnekzvvj,West Indies
115,Rkxyht,South Africa
83,Uotscv,South Africa
142,Xqwippef,Pakistan
96,Dlcexcte,Pakistan
9,Cezcxjwu,Sri Lanka
119,Sxuagls,England
121,Fsjnn,Zimbabwe
