year,GJ Bailey,MEK Hussey,BJ Haddin,SR Watson,DA Warner,AJ Finch,MG Johnson,RT Ponting,SPD Smith,MJ Clarke
2006,0,750,175,199,0,0,3,712,0,539
2007,0,447,250,267,0,0,35,1424,0,851
2008,0,622,81,262,0,0,38,278,0,469
2009,0,1090,628,945,106,0,288,1131,0,852
2010,0,781,387,771,0,0,117,749,139,731
2011,0,414,634,1139,104,0,208,604,204,900
2012,382,513,0,367,803,0,12,18,29,656
2013,913,0,178,637,23,361,59,0,8,279
2014,406,0,224,165,406,790,95,0,541,181
2015,291,0,206,336,652,561,34,0,805,219
2016,808,0,0,0,1388,655,0,0,1154,0
2017,0,0,0,0,367,60,0,0,221,0
