year,V Kohli,SK Raina,RG Sharma,MS Dhoni,SR Tendulkar,G Gambhir,Yuvraj Singh,RA Jadeja,S Dhawan,V Sehwag
2006,0,471,0,793,614,115,789,0,0,552
2007,0,23,61,1035,1394,559,1287,0,0,475
2008,159,680,433,941,383,943,885,0,0,840
2009,325,592,102,1175,911,818,783,201,0,756
2010,995,631,504,600,204,670,349,334,0,446
2011,1302,600,611,622,393,669,395,220,69,610
2012,1011,484,153,466,300,594,2,102,0,217
2013,1268,770,1187,753,0,153,276,462,1148,31
2014,1048,483,539,368,0,0,0,303,787,0
2015,620,517,815,640,0,0,0,113,737,0
2016,739,0,564,278,0,0,0,45,287,0
2017,185,0,0,165,0,0,210,39,12,0
