year,KA Pollard,DM Bravo,RR Sarwan,DJG Sammy,D Ramdin,S Chanderpaul,CH Gayle,MN Samuels,SL Malinga,DJ Bravo
2006,0,0,845,0,170,694,1034,244,34,419
2007,10,0,375,0,159,670,418,585,15,255
2008,11,0,239,136,81,575,356,169,19,203
2009,101,40,306,197,147,437,336,0,32,220
2010,391,77,44,157,159,297,456,0,86,204
2011,524,629,471,191,168,117,198,460,60,195
2012,445,217,0,333,38,0,345,480,69,242
2013,253,759,40,388,50,0,267,353,53,367
2014,173,310,0,126,516,0,67,303,18,415
2015,0,112,0,284,253,0,411,601,33,0
2016,247,312,0,0,276,0,0,374,0,0
